ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3,Texture,Application time
1,VanderZaag,2022,Journal of Environmental Quality,Manitoba,2016,2018,Multiple Years,Year-Round,Farm,Micrometeorology,Swine,"Growers, Finishers",Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F,NA,NA
2,Romero,2022,Science of the Total Environment,Alberta,2019,2019,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Steers,Indoor,Biochar,Solid,"Compost, Stockpile",Storage,NA,T,T,T,F,NA,NA
3,Turner,2022,"Resources, Conservation & Recycling",National,NA,NA,Single Year,NA,LCA,Mixed,Poultry,Layers,Mixed,NA,Solid,NA,"Field, Storage ",Annual crop,F,T,T,T,NA,NA
4,Gong,2022,Frontiers of Environmental Science and Engineering,Alberta,2019,2019,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F,NA,NA
5,Mahato,2022,Bioresource Technology,Quebec,2020,2020,Single Year,Growing,Pilot,Incubation,Poultry,Whole herd,Indoor,NA,"Liquid, Solid","Agitation, Digester ",Storage,NA,T,T,F,F,NA,NA
6,Wedwitschka,2022,Waste Management,Alberta,NA,NA,Single Year,NA,Pilot,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,"Agitation, Digester ",Storage,NA,F,T,F,F,NA,NA
7,Abbasi,2021,Biosystems Engineering,Ontario,2012,2015,Multiple Years,Growing,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,F,F,Med,Spring
8,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,"Animal chamber, Incubation",Dairy Cattle,Cows,Indoor,Diet,Solid,NA,Enteric,NA,F,T,F,F,NA,NA
9,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",Digester,"Enteric, Storage",NA,F,T,F,F,NA,NA
10,Holtshausen,2021,Animals,"Alberta, Quebec",NA,NA,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Cows,Indoor,Diet,Solid,Stockpile,"Enteric, Field, Storage","Annual crop, Grass",T,T,T,F,NA,NA
11,Hung,2021,"Agriculture, Ecosystems and Environment",Quebec,2018,2019,Single Year,Non-Growing,Field,Modelling,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Med,Fall
12,Hung,2021,Applied Soil Ecology,Quebec,2071,2100,Single Year,Non-Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Med,Fall
13,Pokharel,2021,Journal of Environmental Management,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,F,F,T,F,Med,NA
14,Pokharel,2021,Soil Biology and Biochemistry,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F,NA,NA
15,Adghim,2021,Waste and Biomass Valorization,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Poultry,Whole herd,Indoor,NA,Solid,"Digester, Hydrolysis",Storage,NA,F,T,F,F,NA,NA
16,Arias,2021,Journal of Environmental Management,Ontario,NA,NA,Single Year,NA,Pilot,Incubation,Swine,Whole herd,Indoor,NA,"Liquid, Solid",Digester,Storage,NA,T,T,F,F,NA,NA
17,Sokolov,2021,Frontiers in Sustainable Food Systems,Nova Scotia,2019,2019,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Acidification, Agitation, Solid-Liquid Separation ",Storage,NA,F,T,T,F,NA,NA
18,Ejack,2021,Biology and Fertility of Soils,Quebec,2018,2018,Single Year,Non-Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid",Compost,Field,NA,F,F,T,F,Med,NA
19,Romero,2021,Pedosphere,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Heifers,Indoor,Biochar,Liquid,NA,Field,NA,T,T,T,F,"Med, Fine",NA
20,Adelekun,2021,"Agriculture, Ecosystems and Environment",Manitoba,2011,2014,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,Spring
21,Lin,2021,Science of the Total Environment,Alberta,2016,2016,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,F,"Med, Fine",NA
22,Lin,2021,Canadian Journal of Soil Science,Alberta,2015,2015,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F,Fine,NA
23,Sokolov,2021,Environmental Technology,Nova Scotia,2017,2017,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Acidification, Solid-Liquid Separation ",Storage,NA,F,T,F,F,NA,NA
24,Pelster,2021,Soil & Tillage Research,Quebec,2016,2018,Multiple Years,Growing,Field,Soil chamber,"Dairy Cattle, Swine","Whole herd, Growers, Finisherss",Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Fine,Spring
25,Rennie,2021,Science of the Total Environment,National,1971,2000,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
26,Lin,2021,Science of the Total Environment,Alberta,2014,2016,Multiple Years,Year-Round,Field,Modelling,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,"Spring, Fall"
27,Zhang,2021,Journal of Cleaner Production,British Columbia,2019,2019,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid","Agitation, Digester, Solid-Liquid Separation","Field, Storage ",Annual crop,F,T,T,F,NA,NA
28,Binggeli,2021,Journal of Dairy Science,National,2010,2014,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,Diet,Liquid,NA,"Field, Storage ",Annual crop,T,T,T,F,NA,NA
29,Sharifi,2021,Acta Horticulturae,British Columbia,2011,2018,Multiple Years,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Solid,Compost,Field,NA,T,F,F,F,Med,NA
30,Wang,2021,Environmental Pollution,British Columbia,2019,2019,Single Year,Year-Round,LCA,Mixed,"Dairy Cattle, Poultry",Whole herd,Indoor,NA,Liquid,"Agitation, Digester",Storage,NA,T,T,T,F,NA,NA
31,Ashiq,2020,Environmental Pollution,Newfounland,2016,2017,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,T,T,T,F,Coarse,Spring
32,Abassi,2020,Geoderma,Ontario,2012,2014,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,F,F,T,F,Med,Spring
33,Benchaar,2020,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,"Animal chamber, Incubation",Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F,NA,NA
34,Cluett,2020,Animals,"Alberta, Ontario",2017,2019,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"AgriMestMix, Penergetic-g",Storage,NA,F,T,F,F,NA,NA
35,Johannesson,2020,Biocatalysis and Agricultural Biotechnology,Ontario,NA,NA,Single Year,NA,Lab,Incubation,"Dairy Cattle, Poultry",Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",Digester,Storage,NA,F,T,F,F,NA,NA
36,Grant,2020,Biogeosciences,Alberta,2014,2016,Multiple Years,Growing,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,"Spring, Fall"
37,Flores-Orozco,2020,Bioresource Technology,Manitoba,NA,NA,Single Year,NA,Lab,"Incubation, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Agitation, Antibiotic, Digester, Solid-Liquid Separation",Storage,NA,T,T,F,F,NA,NA
38,Le Riche,2020,Journal of Environmental Quality,Nova Scotia,2015,2015,Single Year,Year-Round,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T,NA,NA
39,Debruyn,2020,Journal of Environmental Quality,Ontario,2011,2015,Multiple Years,Year-Round,Farm,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,F,NA,NA
40,Wu,2020,Biology and Fertility of Soils,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Field,NA,T,T,T,F,NA,NA
41,Weber,2020,Canadian Journal of Soil Science,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Steers,Indoor,NA,Solid,NA,Field,NA,T,F,F,F,Med,NA
42,Sokolov,2020,Frontiers in Sustainable Food Systems,Nova Scotia,2018,2018,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,Acidification,Storage,NA,F,T,T,T,NA,NA
43,Owens,2020,Scientific Reports,Alberta,2016,2017,Single Year,Non-Growing,Farm,Soil chamber,Beef Cattle,Steers,Indoor,"3-NOP, Monensin",Solid,"Compost, Stockpile",Storage,NA,T,T,T,T,NA,NA
44,Chen,2020,Journal of Environmental Management,Saskatchewan,NA,NA,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",NA,"Enteric, Field, Storage",Annual crop,T,T,T,F,NA,NA
45,Liang,2020,Science of the Total Environment,National,1990,2016,Multiple Years,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle",Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",NA,"Enteric, Field, Storage","Annual crop, Perennial crop",T,T,T,F,NA,NA
46,He,2020,Science of the Total Environment,National,2001,2006,Multiple Years,Year-Round,Field,"Soil chamber, Modelling","Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,Spring
47,Boh,2020,"Resources, Conservation & Recycling",Ontario,2011,2011,Single Year,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle, Swine, Poultry, Sheep",Whole herd,Mixed,NA,"Liquid, Solid",NA,"Field, Storage ","Annual crop, Grass",F,F,T,T,NA,NA
48,Jiang,2020,American Society of Agricultural and Biological Engineers,Ontario,2012,2015,Multiple Years,Growing,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,T,F,Fine,Spring
49,Létourneau,2020,American Society of Agricultural and Biological Engineers,Quebec,2011,2011,Single Year,Growing,Farm,Animal chamber,Swine,"Growers, Finishers",Indoor,NA,Solid,NA,"Enteric, Storage",NA,T,T,T,T,NA,NA
50,Sokolov,2019,Nutrient Cycling in Agroecosystems,Nova Scotia,2016,2016,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T,NA,NA
51,Rajagopal,2019,International Journal of Environmental Science and Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
52,Maltais-Landry,2019,"Agriculture, Ecosystems and Environment",British Columbia,2015,2016,Multiple Years,Growing,Field,Soil chamber,Poultry,Whole herd,Indoor,NA,Solid,Compost,Field,Annual crop,T,T,T,F,Coarse,Spring
53,Hassanat,2019,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Cows,Indoor,Diet,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
54,Benchaar,2019,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Cows,Indoor,Diet,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
55,Hunt,2019,Frontiers in Sustainable Food Systems,British Columbia,2008,2013,Multiple Years,Year-Round,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,"Spring, Fall"
56,McVoitte,2019,Heliyon,Quebec,NA,NA,Single Year,NA,Pilot,Incubation,Dairy Cattle,Heifers,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
57,Pokharel,2019,Science of the Total Environment,Alberta,NA,NA,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,"Digester, Pyrolysis, Solid-Liquid Separation",Field,Annual crop,T,F,F,F,Fine,NA
58,Quesnel,2019,Nutrient Cycling in Agroecosystems,Ontario,2015,2016,Multiple Years,Year-Round,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Fine,"Spring, Fall"
59,Adelekun,2019,Canadian Journal of Soil Science,Manitoba,2013,2014,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,"Annual crop, Grass, Perennial crop",F,F,T,F,Med,Spring
60,McGinn,2019,Journal of Environmental Quality,Alberta,2017,2018,Single Year,Non-Growing,Farm,Micrometeorology,Beef Cattle,Whole herd,Outdoor,"3-NOP, Monensin","Liquid, Solid",NA,"Enteric, Storage",NA,F,T,F,F,NA,NA
61,Sokolov,2019,Journal of Environmental Quality,Nova Scotia,2017,2017,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,Acidification,Storage,NA,F,T,T,T,NA,NA
62,Hoseeini Koupaie,2019,Waste Management,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,F,F,NA,NA
63,VanderZaag,2019,Journal of the Air & Waste Management Association,Ontario,2016,2016,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,"Agitation, Solid-Liquid Separation",Storage,NA,F,T,F,F,NA,NA
64,Dimitrov,2019,Environmental Development,Alberta,2011,2011,Single Year,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle, Swine, Poultry, Sheep",Whole herd,Mixed,NA,"Liquid, Solid",NA,"Enteric, Field, Storage",Annual crop,F,T,T,F,NA,NA
65,Shen,2019,Agricultural Systems,Alberta,2008,2011,Multiple Years,Growing,Field,"Soil chamber, Modelling",Beef Cattle,Steers,Mixed,NA,Solid,Digester,Field,Annual crop,F,F,T,F,Fine,Spring
66,Mirmasoudi,2019,Canadian Water Resources Journal,British Columbia,2011,2100,Multiple Years,Year-Round,Farm,Modelling,Beef Cattle,Whole herd,Mixed,NA,Solid,NA,"Enteric, Field, Storage","Annual crop, Grass",F,T,T,F,NA,NA
67,Maltais-Landry,2019,Agronomy,British Columbia,2015,2016,Single Year,Non-Growing,Field,Soil chamber,"Poultry, Horse",Whole herd,Mixed,NA,Solid,NA,Field,Annual crop,T,T,T,F,Coarse,Fall
68,Huang,2019,Environmental Pollution,Saskatchewan,2015,2016,Single Year,Year-Round,Farm,Animal chamber,Poultry,"Broilers, Layers",Indoor,NA,Solid,NA,Storage,NA,T,T,T,F,NA,NA
69,Alvarez-Hess,2019,Agricultural Systems,Alberta,2016,2016,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Mixed,"3-NOP, Nitrate",Solid,Stockpile,"Enteric, Field, Storage",Annual crop,T,T,T,F,NA,NA
70,Fournel,2019,American Society of Agricultural and Biological Engineers,Quebec,2010,2014,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,"Cows, Heifers",Indoor,NA,"Liquid, Solid",Stockpile,"Enteric, Field, Storage",Annual crop,T,T,T,F,"Med, Fine","Spring, Fall"
71,Smith,2019,Journal of Environmental Quality,Ontario,1986,2015,Multiple Years,Year-Round,Field,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,T,"Med, Fine","Spring, Fall"
72,He,2019,Journal of Environmental Quality,Ontario,1966,2015,Multiple Years,Year-Round,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,T,Fine,"Spring, Fall"
73,Zhu,2018,IOP Conference Series: Earth and Environmental Science,Alberta,2015,2015,Single Year,NA,Lab,Incubation,NA,NA,NA,NA,NA,NA,Field,NA,T,T,T,F,Med,NA
74,Cherif,2018,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
75,Brassard,2018,Geoderma,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F,"Med, Coarse",NA
76,Maltais-Landry,2018,Journal of Environmental Quality,British Columbia,2016,2016,Single Year,Growing,Lab,Incubation,"Horse, Poultry",Whole herd,Indoor,NA,Solid,NA,Field,NA,T,T,T,T,NA,NA
77,Habtewold,2018,Journal of Environmental Quality,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Antibiotics,Storage,NA,T,T,F,F,NA,NA
78,Maltais-Landry,2018,Journal of the Air & Waste Management Association,British Columbia,2015,2016,Single Year,Non-Growing,Farm,Soil chamber,"Horse, Poultry","Whole herd, Broiler",Indoor,NA,Solid,"Cover, Stockpile",Storage,NA,T,T,T,F,NA,NA
79,VanderZaag,2018,Environmental Technology,Ontario,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid","Agitation, Compost, Digester, Solid-Liquid Separation ",Storage,NA,F,T,F,F,NA,NA
80,Westphal,2018,"Agriculture, Ecosystems and Environment",Manitoba,2014,2015,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Compost,Field,Annual crop,F,F,T,F,Fine,Spring
81,Maldaner,2018,Agricultural and Forest Meteorology,Ontario,2013,2013,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,F,NA,NA
82,Mechler,2018,Biomass and Bioenergy,Ontario,2016,2017,Multiple Years,Growing,Field,Soil chamber,Poultry,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,T,F,Med,NA
83,Kariyapperuma,2018,Agricultural and Forest Meteorology,Ontario,2010,2011,Multiple Years,Year-Round,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,NA,Storage,NA,F,T,F,T,NA,NA
84,Fedrizzi,2018,Waste Management,Quebec,2013,2015,Single Year,NA,Lab,Incubation,Dairy Cattle,NA,Indoor,NA,Liquid,"Compost, Digester",Storage,NA,F,T,F,F,NA,NA
85,Yitbarek,2017,Journal of Cleaner Production,Manitoba,NA,NA,Single Year,NA,Lab,Incubation,Swine,Weaners,Indoor,Phytase,"Liquid, Solid",NA,Field,NA,T,T,T,F,Med,NA
86,Little,2017,Climate,Quebec,NA,NA,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,Diet,"Liquid, Solid",NA,"Enteric, Field, Storage",Annual crop,F,T,T,F,Fine,NA
87,Fillingham,2017,Waste Management,Ontario,NA,NA,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,Cows,Indoor,NA,Solid,"Compost, Solid-Liquid Separation",Storage,NA,T,T,T,T,NA,NA
